lemma_beta,freq
a)fi/hmi,3
ku/wn,3
muqe/omai,3
lagxa/nw,3
nautiko/s,3
o(moi=os,3
dis1s1o/s,3
lei/a,3
o(qou/neka,3
mai/nomai,3
pa/lin,3
dh=los,3
ou)/toi,3
ou)/tis,3
kate/xw,3
e(/s1peros,3
di/s,3
kleino/s,3
me/s1os,3
e(/neka,3
o)rgh/,3
ko/mh,3
o)cu/s,3
meqi/hmi,3
e)kei=,3
e)/mpas,3
e)fi/s1thmi,3
fle/gw,3
foi/nios,3
a)rh/gw,3
fqei/rw,3
fqi/w,3
s1kia/,3
a)rwgo/s,3
a)rxh/,3
e)mfanh/s,3
e)lpi/s,3
r(i/ptw,3
a)tima/zw,3
ka/tw,3
e)lau/nw,3
ai(=ma,3
qumo/s,3
ai)/as,3
qrhne/w,3
ai)/qwn,3
qras1u/s,3
qou/rios,3
ai)ai=,3
ge/rwn,3
ai)de/omai,3
fobe/w,3
*ka/lxas,3
qars1e/w,3
*fru/c,3
̓a)rgei=os,3
e)s1qlo/s,3
ei(=s,3
xwri/s,3
e)pibai/nw,3
u(/bris,3
*)axi/lleios,3
e)peggela/w,3
a)ni/a,3
toiga/r,3
toi=os,3
tlh/mwn,3
eu)tuxe/w,3
te/xnh,3
tanu=n,3
*danaoi/,3
a)po/llumi,3
s1w=ma,3
s1unarpa/zw,3
feu/gw,3
s1u/ntrofos,3
a)/qaptos,3
s1u/naimos,3
qea/,3
e)leu/qeros,3
e)kto/s,3
i)/s1ws,3
pro/s1polos,3
prh/n,3
i(/hmi,3
pra=gma,3
ba/rbaros,3
qake/w,3
ba/s1is,3
baio/s,3
prodi/dwmi,3
*salami/s,3
bas1ileu/s,3
po/lis,3
plou=tos,3
plhgh/,3
ple/ws,3
ple/w,3
a)i/s1s1w,3
i(kne/omai,3
punqa/nomai,3
*lae/rths,3
genea/,3
gh=ras,3
eu)/kleia,2
kai/per,2
a)/lkimos,2
leimw/n,2
kluto/s,2
i)/xnos,2
eu)/frwn,2
h(/lios,2
klis1i/a,2
eu)frai/nw,2
fa/os,2
fa/s1ganon,2
le/xos,2
gennai=os,2
fa/s1kw,2
eu)/xomai,2
eu)/fhmos,2
kai/rios,2
leu/s1s1w,2
e)rga/zomai,2
ka/toida,2
ka/petos,2
i)s1xu/w,2
ei)/kw,2
leuko/s,2
a)/rxwn,2
a)/n,2
i)ou/,2
a)/rrhtos,2
ei)s1aei/,2
i)dou/,2
i)a/ptw,2
ei)s1akou/w,2
ei)s1e/rxomai,2
faeino/s,2
ko/s1mos,2
lao/s,2
gluku/s,2
h)=mar,2
h(donh/,2
frou=dos,2
h(/s1s1wn,2
kei=nos,2
fu/lac,2
fus1a/w,2
fqe/gma,2
kri/nw,2
krei/s1s1wn,2
a)/lhma,2
gai=a,2
kompe/w,2
h(/domai,2
katamele/w,2
katakta/omai,2
kou=fos,2
koimi/zw,2
fe/ggos,2
loipo/s,2
a)/lgos,2
koi=los,2
fei/domai,2
kle/ptw,2
kaqi/s1thmi,2
fo/bos,2
kixa/nw,2
kola/zw,2
ki/wn,2
flau=ros,2
i(ero/s,2
i(/na,2
a)lge/w,2
ou)/koun,2
loutro/n,2
s1igh/,2
s1emno/s,2
s1eu/w,2
s1fa/llw,2
s1fa/zw,2
s1hmai/nw,2
s1i/dhros,2
s1iga/w,2
s1klhro/s,2
s1e/bw,2
s1mikro/s,2
s1te/fanos,2
s1te/gh,2
s1te/llw,2
s1te/rgw,2
s1tei/xw,2
s1trathla/ths,2
s1eautou=,2
r(h=ma,2
s1tugero/s,2
pthno/s,2
proi/s1thmi,2
proqe/w,2
pros1auda/w,2
pros1e/rpw,2
pros1ei=pon,2
pros1leu/s1s1w,2
pros1molei=n,2
pu/lh,2
r(axi/zw,2
pw,2
pws,2
qana/s1imos,2
qei=os,2
qoo/s,2
qurai=os,2
qwu/s1s1w,2
s1tre/fw,2
s1u/ndetos,2
lwi/wn,2
xqo/nios,2
trofh/,2
*)axilleu/s,2
u(bris1th/s,2
u(pei/kw,2
u(pos1tena/zw,2
w)fele/w,2
xo/los,2
xrei/a,2
tro/pos,2
xrhs1to/s,2
yeu/dw,2
