<ανά>γνωστος
<εἰσ>παραδέχομαι
<ρ>ρήξ
[διαπο]ντοπλανής
[ια]στής
[τ]υπογράφος
[της]
Κλάριος1
Κλάριος2
Μαιῆτις2
Πηλούσιον1
Σύρος2
Τυμωλίς1
Χέω1
Χέω2
Χορος2
Χράομαι1
Χράομαι2
Χροος
Χροος1
Χροος2
Χωρέω1
Χωρέω2
άομαι
έψω
έω
α2
αή
αφριος
αἰ1
αἰγοκέρως
αἰδοιικός
αἰθος
αἰθος1
αἰθοψ
αἰθός2
αἰκάλος
αἰμάτινος
αἰνετής
αἰνός2
αἰπος
αἰπος1
αἰπός2
αἰσχροποιία
αἱλίφλοιος
αἱλιφθερόω
αἱλιφθορία
αἱλιφθόρος
αἱμοπτυικός
αἱμορροίς
αἱμορροιδοκαύστης
αἱμορροικός
αἴγοτριψ
αἴπολος
αἶνος1
αὐίαχος
αὐλίδιον
αὐλητής1
αὐλοποιία
αὐξίς2
αὐξικέρως
αὐονή
αὐτοαήρ
αὐτογῆ
αὐτοδάικτος
αὐτοθαίς
αὐτοισότης
αὐτοκρατορία1
αὐτοκρατόρια2
αὐτολάλητής
αὐτονυχί
αὐτοτραγικὸς
αὐτουγίεια
αὐτούδωρ
αὐτόιππος
αὐτόισον
αὐτόνους
αὔω
αὗ
βάθυθριξ
βάιον
βάις
βάρος1
βάτος
βάφισ<σ>α
βίος1
βαία
βαθυδίνης1
βαθυλήιος
βαθυχάιος
βαθόημι2
βαθύυδρος
βαθύυπνος
βαινός
βαιοφορέω
βαλάνω[σις
βαρυηκοία
βαρύυπνος
βασίλεια1
βασιλεία2
βασιληίς
βαυστικός
βαύ
βαύ1
βαύζω
βαῦ2
βελοποιία
βεμβίκεια
βεργαίζω
βιός2
βλέννος
βλεννός2
βληχρός1
βοήδρομος
βοιστί
βορέας1
βορεάς2
βορός
βοτρυίτης
βοτρύιος
βου
βουγάιος
βουδεψήιον
βουθόρος1
βουκέρως
βούβαστις1
βούβαστις2
βούκολος
βούφονος
βράγχος
βράκετ
βρίζω
βραγχός2
βραχίων1
βραχυπόρος
βραχύυπνος
βρογχία1
βροτός1
βρωμάομαι
βρόγχια2
βρόμος
βρότος2
βρύγμα
βυνοκ[οπία]
βυσσός1
βωμόλοχος
βόινος
βόοκλεψ
βύζω
βύσσος2
βώκκαλις
βᾶρος2
βῆβῆ
βῆμα1
γάδος1
γάδος2
γάιος
γάλοως
γάνος
γήδιον
γήινος
γαιήιος
γαιδάριον
γαικός
γαιτανά
γαλακτοποιία
γαμοποιία
γεικός
γελωτοποιία
γελωτοποιικῶς
γενεάλογος
γενεθλιάλογος
γενηίς
γερούσιας
γεώγραφος
γεώπονος
γεώτομος
γηίτης
γηρόκομος
γιγγράινος
γλαυκός1
γλαῦκος2
γλυκυφωγέω
γλωσσίδος
γλωσσοποιία
γνα<π>ταὶ
γνωτός
γνύθος
γονοποιία
γονορροικός
γουνοίζω
γουνοιστί
γους
γοῖ
γραίδιον
γραίζω
γριπηὶς
γροφισμός
γρυνός1
γυίδαμος
γυίκολλος
γυιβόρος
γυιδόνητος
γυναικοιέραξ
γυναικουφή
γυρός1
γωνιφόρια
γωνιόπουν
γῆρας2
γῦρος2
δάιος
δάις
δάις2
δάνος
δάσυθριξ
δάφνκομος
δάψιλδε
δέ1
δέλλις1
δέος2
δέσμη1
δέω
δή1
δήω1
δήωσις
δίειμι
δίιδρος
δίιξις
δίιος
δίοπος
δίχοθεν
δίωστρα
δαΐς1
δαίζω
δαίς1
δαίς2
δαίσφαλτος
δαίφρων
δαίω
δαικτάμενος
δαικτήρ
δαικτός
δαιλμός
δαιμονοτάκτης
δαιόφρων
δαλός1
δασυλλις
δατξανδρος
δαφνειδής
δαφνο͂γηθής
δαφνπώλης
δαῦκος1
δείλομαι1
δεινός1
δειπνοποιία
δεισιδαιμεννέα
δεκαείαζε
δεκαναία
δεσμωμα
δευσοποιία
δευτεροστρατηλαιανοί
δευτεροχύται
δεύω
δηιάλωτος
δηιάνειρα
δηιοτής
δηιφόβος
δηιόω
δηλέομαι1
δημήγορος
δημοικός
δημός2
δημότερπής
δητός
διάδρομος
διίαμβος
διίημι
διίππευσις
διίστημι
διίφιλος
διαίγδην
διαίσσω
διαβήτινος
διαγ[ειτ]ονία
διαδικέω
διαείδω
διαθγίβω
διαιστόω
διακαλοκαγαθίζομαι
διακομίξω
διακομπάξω
διακοσκιν<εύ>ω
διακωμῳδίω
διαλαφυσσω
διαλύτης
διαπραύνω
διαπυίσκομαι
διαρροίζομαι
διαρροικός
διαρϝέομαι
διαυλόδρομος
διαφρος
διεκθρώσκω
διεξαίσσω
διεύω
διητέον
διιδρόω
διιθύνω
διικμάζω
διικμάω
διικνέομαι
διιπετής
διιππασία
διιππεύω
διισθμίζω
διιστέον
διιστορέω
διισχάνω
διισχναίνω
διισχυρίζομαι
διισχυριείω
διισχυριστέον
διισωτήρια
διιτέον
διιτικός
διιχνεύω
δικήγορος
δικαικός
δικαστοφιλακέω
διο
διοιστεύω
διονύσιος
διορθτέον
διορυκτρὶς
διος
διος2
διπλοίς
διπλοισότης
διποληίς
διπολις
διστραλίον
διφυία
διχή1
διχοφυία
διχῆ
διχῆ2
διώνυμος
δμῴιος
δογματοποιία
δοκεῖον
δοκός1
δολιχός1
δολόρραφος
δολόφονος
δορά1
δορήιος
δορπήιον
δορύφορος
δουλόσύνη
δοῦλος1
δράκων2
δράω1
δραματοποιία
δραχμήιος
δρυίδης
δρυίνας
δρυίτης
δρυινών
δρυοπαγὴς
δρύινος
δυηπάθια
δυικός
δυς
δυσέρως
δυσήνιος
δυσδιαγνω<σ>τικός
δυσεκκαρτέρητος
δυσεκρίπτος
δυσεξυβωτός
δυσηκοία
δυσμεικτος
δυσπλοία
δυσπνοικός
δυσπράυντος
δυσσῴστως
δυστρατοπέδευτος
δυσφυία
δυωδεκαίς
δωδεκάσεληνος
δωδεκαμν<α>ιαῖος
δόλιχος2
δόλος1
δόμα1
δύσαυλος
δύστομος
δὲ
δὲ2
δᾴδουχος
δᾶ2
δῆμος1
δῖος1
εισγράφω
ελ
ερεβόσδε
εροστ
εἰ1
εἰδή
εἰδεχθθής
εἰδοποιία
εἰδωλοποιία
εἰδωλοποιικός
εἰδωλόθυσία
εἰδόφορος
εἰκονοποιία
εἰκοσιτρία
εἰμί1
εἰν1
εἰσαίσσω
εἰσαίω
εἴδω1
εἴκω1
εἴρη
εἴρω
εἴτε1
εἶμι2
εἶτε2
εὐάς2
εὐήκης1
εὐήτριος1
εὐαγής
εὐγμα
εὐζωία
εὐηκής2
εὐηκοία
εὐθαλής
εὐθύβολος
εὐκαταπράυντος
εὐκαταρέλαστος
εὐκεράιστος
εὐκλείζω
εὐκράς1
εὐκτέανος
εὐμαρίην
εὐμαχος
εὐμελής
εὐνοικός
εὐνομία
εὐοψία
εὐπέτης2
εὐπετής1
εὐποιία
εὐρέιος
εὐρυγένειος
εὐρυθμοκάρηνος
εὐρυθμοκέρως
εὐστείλ<ε>ος
εὐφυία
εὐωπός1
εὐωρία
εὐώνυμος1
εὔας1
εὔθυθριξ
εὔινος
εὔιππος
εὔιστος
εὔιχθυς
εὔκηλος
εὔνομος
εὔπιδαξ
εὔψυχος
εὔωρος
εὖθριξ
εὖνις
ζά1
ζάλος1
ζάμενζε
ζεοποίιον
ζευ
ζευγοποιία
ζευγότροφος
ζευκτὴς
ζεφυρηίς
ζζ
ζηλοεοτήρ
ζητησιμος
ζυγόφορος
ζυτοποιία
ζωάγρια2
ζωγρία1
ζωικός
ζωνον
ζωοειδής
ζωοθηρία
ζωοθηρικός
ζωοκέφαλος
ζωόγονος
ζωόμορφος
ζωότοκος
ζωόφορος
ζώγραφος
ζῳότροφος
ζῳόφαγος
ηγός
ηη
ητε
θάμβος1
θέα2
θέμιτθεν
θέρμος2
θέω
θήιον
θαίς
θαλαμήιος
θαλαμήπολος
θαλαμηιάδης
θαλαμόνδε
θαμβός2
θανατήφορος
θαυματοποιία
θαυματοποιικός
θεά1
θεήιος
θεήκολος
θειόω
θειώδης
θεογαμία1
θεολογία2
θεολόγια1
θεοποιία
θεριστός1
θερμός1
θεσμοφόριον1
θεωρόδοκος
θεόθρων
θεόλογος
θεόμαχος
θεόω
θεῖον
θεῖος
θεῶ3
θηβαίς
θηλύπαθεω
θηλύτοκος
θηραικόν
θησηίς
θθ
θοάζω
θολία1
θολός
θοός
θοῃρός
