βοῦς,4
πῆμα,4
ἔγχος,4
ς1οφός,4
ς1πεύδω,4
ς1θένω,4
Ἕλλην,4
φυλάς1ς1ω,4
ταχύς,4
δοῦλος,4
κράτος,4
ποιέω,4
ὁρμάω,4
ς1ύμμαχος,4
δέρκομαι,4
βοή,4
αἱρέω,4
κομίζω,4
πεῖρα,4
ἕδρα,4
ἄκρος,4
πέμπω,4
τέρψις,4
τέλος,4
ς1τόμα,4
ς1ωφρονέω,4
λυγρός,3
λώβη,3
δέχομαι,3
πατρῷος,3
παλαιός,3
ἀγών,3
δέος,3
μάλις1τα,3
Τέκμης1ς1α,3
ἔξοδος,3
μωρός,3
δίχα,3
μάς1τιξ,3
δύο,3
ἁλίς1κομαι,3
ἁμαρτάνω,3
πεδίον,3
κτάομαι,3
μνῆς1τις,3
μόρος,3
δύναμαι,3
ἔρως,3
ἔνδικος,3
μῦθος,3
ἔρις,3
ἀφίημι,3
κύων,3
μυθέομαι,3
λαγχάνω,3
ναυτικός,3
ὁμοῖος,3
δις1ς1ός,3
λεία,3
ὁθούνεκα,3
μαίνομαι,3
πάλιν,3
δῆλος,3
οὔτοι,3
οὔτις,3
κατέχω,3
ἕς1περος,3
δίς,3
κλεινός,3
μές1ος,3
ἕνεκα,3
ὀργή,3
κόμη,3
ὀξύς,3
μεθίημι,3
ἐκεῖ,3
ἔμπας,3
ἐφίς1τημι,3
φλέγω,3
φοίνιος,3
ἀρήγω,3
φθείρω,3
φθίω,3
ς1κιά,3
ἀρωγός,3
ἀρχή,3
ἐμφανής,3
ἐλπίς,3
ῥίπτω,3
ἀτιμάζω,3
κάτω,3
ἐλαύνω,3
αἷμα,3
θυμός,3
αἴας,3
θρηνέω,3
αἴθων,3
θρας1ύς,3
θούριος,3
αἰαῖ,3
γέρων,3
αἰδέομαι,3
φοβέω,3
Κάλχας,3
θαρς1έω,3
Φρύξ,3
̓ἀργεῖος,3
ἐς1θλός,3
εἷς,3
χωρίς,3
ἐπιβαίνω,3
ὕβρις,3
Ἀχίλλειος,3
ἐπεγγελάω,3
ἀνία,3
τοιγάρ,3
τοῖος,3
τλήμων,3
εὐτυχέω,3
τέχνη,3
τανῦν,3
Δαναοί,3
ἀπόλλυμι,3
ς1ῶμα,3
ς1υναρπάζω,3
φεύγω,3
ς1ύντροφος,3
ἄθαπτος,3
ς1ύναιμος,3
θεά,3
ἐλεύθερος,3
ἐκτός,3
ἴς1ως,3
πρός1πολος,3
πρήν,3
ἵημι,3
πρᾶγμα,3
βάρβαρος,3
θακέω,3
βάς1ις,3
βαιός,3
προδίδωμι,3
Σαλαμίς,3
βας1ιλεύς,3
πόλις,3
πλοῦτος,3
πληγή,3
πλέως,3
πλέω,3
ἀίς1ς1ω,3
ἱκνέομαι,3
πυνθάνομαι,3
Λαέρτης,3
γενεά,3
γῆρας,3
εὔκλεια,2
καίπερ,2
ἄλκιμος,2
λειμών,2
κλυτός,2
ἴχνος,2
εὔφρων,2
ἥλιος,2
κλις1ία,2
εὐφραίνω,2
φάος,2
φάς1γανον,2
λέχος,2
γενναῖος,2
φάς1κω,2
εὔχομαι,2
εὔφημος,2
καίριος,2
λεύς1ς1ω,2
ἐργάζομαι,2
κάτοιδα,2
κάπετος,2
ἰς1χύω,2
εἴκω,2
λευκός,2
ἄρχων,2
ἄν,2
ἰού,2
ἄρρητος,2
εἰς1αεί,2
ἰδού,2
ἰάπτω,2
εἰς1ακούω,2
εἰς1έρχομαι,2
φαεινός,2
κός1μος,2
λαός,2
γλυκύς,2
ἦμαρ,2
ἡδονή,2
φροῦδος,2
ἥς1ς1ων,2
κεῖνος,2
φύλαξ,2
φυς1άω,2
φθέγμα,2
κρίνω,2
κρείς1ς1ων,2
ἄλημα,2
γαῖα,2
κομπέω,2
ἥδομαι,2
καταμελέω,2
κατακτάομαι,2
κοῦφος,2
κοιμίζω,2
φέγγος,2
λοιπός,2
ἄλγος,2
κοῖλος,2
φείδομαι,2
κλέπτω,2
καθίς1τημι,2
φόβος,2
κιχάνω,2
κολάζω,2
κίων,2
φλαῦρος,2
ἱερός,2
ἵνα,2
ἀλγέω,2
οὔκουν,2
λουτρόν,2
ς1ιγή,2
ς1εμνός,2
ς1εύω,2
ς1φάλλω,2
ς1φάζω,2
ς1ημαίνω,2
ς1ίδηρος,2
ς1ιγάω,2
ς1κληρός,2
ς1έβω,2
ς1μικρός,2
ς1τέφανος,2
ς1τέγη,2
ς1τέλλω,2
ς1τέργω,2
ς1τείχω,2
ς1τρατηλάτης,2
ς1εαυτοῦ,2
ῥῆμα,2
ς1τυγερός,2
πτηνός,2
προίς1τημι,2
προθέω,2
προς1αυδάω,2
προς1έρπω,2
προς1εῖπον,2
προς1λεύς1ς1ω,2
προς1μολεῖν,2
πύλη,2
ῥαχίζω,2
πω,2
πως,2
θανάς1ιμος,2
θεῖος,2
θοός,2
θυραῖος,2
θωύς1ς1ω,2
ς1τρέφω,2
ς1ύνδετος,2
λωίων,2
χθόνιος,2
τροφή,2
Ἀχιλλεύς,2
ὑβρις1τής,2
ὑπείκω,2
ὑπος1τενάζω,2
ὠφελέω,2
χόλος,2
χρεία,2
τρόπος,2
χρης1τός,2
ψεύδω,2
ζεύς,2
ζητέω,2
ζυγόν,2
̓ἀχαιός,2
̓ἰδαῖος,2
τροφεύς,2
τρέχω,2
ς1υμπίτνω,2
τελέω,2
ς1υναλγέω,2
ς1ώφρων,2
ς1χολή,2
Εὐρυς1άκης,2
ταρβέω,2
ταῦρος,2
ταχύνω,2
τερπνός,2
τός1ος,2
τεῦχος,2
τῇδε,2
τηλόθεν,2
τίνω,2
τιμή,2
τόλμα,2
τόπος,2
πρός1ειμι,2
πρόκειμαι,2
πρόγονος,2
ὁμιλέω,2
