ἀντιπροσερεῖν	ἀντιπροσερρήθην		ἀντιπροσαγορεύω	0
ἀντίτυπα	ἀντιτύπᾳ		ἀντίτυπος	0
ἀνυποδεσία	ἀνυποδετέω, ἀνυπόδετος		ἀνυποδησία, ἀνυποδητέω, ἀνυπόδητος	53
ἄνυσσα	ἀνύσσεσθαι		ἀνύω	0
ἀνυτικός	ἁνυτικός		ἀνυστικός	0
ἀνύτω	ἁνύτω		ἀνύω	0
ἀξέμεν	ἀξέμεναι		ἄγω.	0
ἀξύμϐατος	ἀξύμϐλητος, ἀξύμμετρος		ἀσύμϐατος, ἀσύμϐλητος, ἀσύμμετρος	0
ἀξύνετος	ἀξυνήμων		ἀσύνετος, ἀσυνήμων	0
ἀπεδήδεμαι	ἀπεδήδοκα		ἀπεσθίω	0
ἀπέην	ἀπέῃσι		ἄπειμι1	0
ἀπείρηκα	ἀπείρημαι		ἀπαγορεύω	0
ἀπειροσύνη	ἀπειροσύνα		ἀπειρία1	0
ἀπέκτακα	ἀπεκτάνθην, ἀπέκτανον		ἀποκτείνω	0
ἀπέκτονα	ἀπεκτόνηκα		ἀποκτείνω	0
ἀπενάσθην	ἀπένασσα		ἀποναίω	0
ἀπέριττος	ἀπεριττότης, ἀπερίττως		ἀπέρισσος, ἀπερισσότης, ἀπερίσσως	0
ἀπεσσούα	ἀπεσσύμεθα, ἀπέσσυτο		ἀποσεύω	0
ἀπέωσα	ἀπεώσθην		ἀπωθέω	0
ἀπηγέομαι	ἀπήγημα, ἀπήγησις		ἀφηγέομαι, ἀφήγημα, ἀφήγησις	0
ἀπηγορία	ἀπαγορία		ἀπηγόρημα	0
ἀπημονία	ἀπημονίη		ἀπημοσύνη	0
ἀπίκατο	ἀπικέατο, ἀπίκευ		ἀφικνέομαι	0
ἀπικνέομαι	ἀπικόμην		ἀφικνέομαι	0
ἀπιστοσύνη	ἀπιστοσύνα		ἀπιστία	0
ἁπλούστατος	ἁπλούστερος		ἁπλόος	0
ἀποειπεῖν	ἀποεῖπον		ἀπειπεῖν, ἀπεῖπον	0
ἀποθανέομαι	ἀποθανεῦμαι		ἀποθνῄσκω	0
ἀποκατέαται	ἀποκάτημαι		ἀποκάθημαι	0
ἀπόκλᾳξον	ἀποκλᾴξας		ἀποκλείω	0
ἀποκτάμεν	ἀποκτάμεναι		ἀποκτείνω	0
ἀπόπληξις	ἀπόπληξιος		ἀποπληξία	0
ἀπόπνοια	ἀπόπνοίη		ἀποπνοή	0
ἀραιρηκώς	ἀραίρημαι		αἱρέω	0
ἄρνα	ἄρνε		ἀρήν	0
ἀρνεώς	ἀρνέως		ἀρνειός	0
ἀρόμενος	ἀρόμην		αἴρω	0
ἀρρενομίκτης	ἀρσενομίκτης		ἀρρενοκοίτης	0
ἀρχαιέστερος	ἀρχαιέστατος		ἀρχαῖος	0
ἀσυνήμων	ἀξυνήμων		ἀσύνετος	0
ἀτερπία	ἀτερπίη		ἀτέρπεια	0
ἀτερψία	ἀτερψίη		ἀτέρπεια	0
ἄτριχος1	ἄτριχες		ἄθριξ	0
Ἀτροπατία	Ἀτροπάτιος Μηδία		Ἀτροπατηνή	0
Αὐγείας	Αὐγείης		Αὐγέας	0
ἀφέῃ	ἀφέηκα, ἀφεθῆναι		ἀφίημι	0
ἀφείργω	ἀφείργνυμι		ἀπείργω	0
ἀφεσταίη	ἀφέσταμεν, ἀφεστάναι, ἀφέστηκα, ἀφεστήξω		ἀφίστημι	0
ἀφῃρέθην	ἀφῄρημαι		ἀφαιρέω	0
ἀφθονέστερος	ἀφθονέστατος		ἄφθονος	0
ἀχυρός	ἄχυρος		ἀχυρμός	0
βαθίων	βάθιστος		βαθύς	0
βαθύτερος	βαθύτατος		βαθύς	0
βαλήν	βαληναῖος		βαλλήν, βαλληναῖος	0
βαρυμήνιος	βαρυμάνιος		βαρύμηνις	0
βασιλεύτατος	βασιλεύτερος		βασιλεύς	0
βεϐλήαται	βεϐλήατο		βάλλω	0
βεϐολήατο	βεϐολημένος		βάλλω	0
Βενεουεντόν	Βενεούεντον		Βενεϐεντός	0
βίη	Βίη		βία, Βία	0
βιόωνται	βιόωντο		βιάω	0
Βιστονία	Βιστονίη		Βιστόνιος	0
βόλϐιτον	βόλϐιτος		βόλιτον	23
βοόωσα	βοόωσι		βοάω	0
Βορυσθενίτης	Βορυσθενῖτις		Βορυσθενεΐτης	0
βρύλλον	βροῦλλον		σπάρτον	0
βωκολιάσδω	βωκολιαστής, βωκολικός, βωκόλος, βῶκος		βουκολιάσδω, βουκολιαστής, βουκολικός, βουκόλος, Βοῦκος	0
γαλήνεια	γαλάνεια		γαλήνη	0
γαλιάγκων	γαλιαγκών		γαλεαγκών	0
γανόωντα	γανόωντες, γανόωσαι, γανόωσι		γανάω	0
γαρυέμεν	γαρύεν		γηρύω	0
γδουπέω	γδοῦπος		δουπέω, δοῦπος	0
γέγαα	γεγάατε		γίγνομαι	0
γεγάκειν	γεγάμεν		γίγνομαι	0
γεγαώς	γεγαυῖα		γίγνομαι	0
γεγώς	γεγῶσα		γίγνομαι	0
γεῖσος	γεῖσσος		γεῖσον	0
